level,type,Region/economy,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1,region,World,204887.7031,153959.0874,164684.9945,222236.6021,255893.7326,345142.7445,392778.6563,480628.4795,681509.2912,1078285.663,1356685.067,773130.5077,590311.3487,549570.5644,699234.4965,954072.5168,1400939.056,1889474.117,1454599.566,1137385.037,1369184.39,1601135.21,1459065.783,1455288.783,1397394.118,2049899.355,2019332.509,1651163.148,1376139.316,1729239.136,984578.0317,1621807.62,1355748.919,1331813.323
2,region,Developed economies,171279.4722,116082.9802,112105.3013,145961.3116,153719.475,228407.0243,246473.0433,295542.0679,509573.0726,870309.9162,1133973.771,560142.4949,424916.1099,355532.4736,441206.5979,631232.2246,1009581.317,1382594.039,900473.0492,700596.372,760382.5591,931573.7959,789187.0959,792258.5746,710455.9477,1310224.26,1344412.087,950327.5,674750.0921,1024750.186,337595.2433,731842.7292,426197.6507,464396.6456
3,region,Europe,102697.2824,81867.35316,77530.90366,82785.39965,90540.97956,141746.3675,138208.479,162388.1606,293729.8218,531685.9001,710777.7035,350865.3601,296002.8356,274684.5221,239885.503,506576.6915,664818.4216,963967.8512,436560.5009,476201.8566,481737.9931,582462.7064,463671.1219,435901.8029,361425.1705,751218.9153,754023.0081,525891.9585,320293.6661,660687.2422,158932.6802,178747.8534,-105877.9806,16493.08112
4,region,European Union,65099.39227,63939.30302,59033.38516,63313.48215,73153.15477,110995.2516,100057.6504,111729.3369,211493.6044,418392.8397,564989.5288,298098.7563,262766.0238,226394.2581,155573.5423,297514.9346,410722.3346,668322.7821,220605.0616,296012.4698,334957.8048,445036.5864,319199.2256,315773.6072,290678.9573,631254.1428,363448.6793,274520.6289,305556.0697,627335.7147,154888.5118,266502.1246,-84830.85216,58645.2323
5,country,Austria,653,360,1485.51775,1125.10612,2075.82359,1825.09025,4323.51309,2668.97482,4571.85571,2974.49999,8501.01345,5689.43455,138.34643,6195.02186,3183.64965,10784.46003,4754.75731,25484.26717,7226.09723,9268.29969,2575.46341,10615.64954,3988.87765,5721.21046,4583.14766,1488.35781,-8508.30643,14953.06209,5389.76914,4905.47938,-9982.75283,17092.29161,9325.59624,4465.63297
5,country,Belgium,0,0,0,0,0,0,0,0,0,0,0,0,16250.52939,33476.142,43557.8899,34370.49197,58892.96875,93430.67292,-13857.25272,64440.44048,57583.32285,83366.34902,11670.39705,23898.0012,-3505.90517,28331.29923,68245.11301,-3064.80948,27137.17506,11860.83584,3133.04535,9905.45172,11550.88751,23019.11682
5,country,Belgium / Luxembourg,8046.73,9362.56,11285.8,10750,8513.58,10688.7,14063.9,11998.3,22690.5,119692.913,88738.714,88203.254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,country,Bulgaria,4,55.9,41.5,40,105.4,90.4,109,646.66144,678.39289,922.65192,1016.48609,808.42588,922.28883,2088.52933,3397.11808,3919.96593,7804.89399,12388.85878,9855.10675,3385.35347,1549.12887,2052.28219,1697.19191,1837.74295,461.57503,2217.35062,1040.26088,1813.84982,1142.61242,1835.2704,3397.08352,1794.19724,2770.64396,3913.16876
5,country,Croatia,0,0,13,118.26514,110.33277,103.47538,485.18139,579.57503,943.65177,1425.48395,989.65226,1035.85292,984.97482,1812.64968,1291.40643,1810.33474,3132.77176,4669.8688,5406.80349,2948.10949,1171.93803,1589.90475,1312.21328,905.39333,2889.19462,75.3982,276.28211,528.87435,1199.41347,401.5914,146.08744,4486.44482,3590.14473,2749.12309
5,country,Cyprus,126.62,81.8,107.4,83.4,75.2,375.75704,428.89831,548.36284,345.34507,803.62061,837.58614,928.64371,1038.59524,891.44188,8594.77819,11090.50679,16726.16082,23237.58928,12246.51962,0.00001,33429.64545,36622.58058,63501.89679,22260.81188,46454.08988,23945.6161,10928.26285,9437.62351,-413.48017,52329.65289,-24450.84177,7387.89276,5731.59166,3446.97461
5,country,Czechia,72,523,1003,653.46725,868.31034,2561.83145,1428.43775,1301.37168,3716.35813,6329.66629,4985.20923,5641.7407,8482.04713,2102.73672,4974.49786,11653.24701,5462.62547,10443.81754,6451.00292,2926.81482,6140.58319,2317.55378,7984.10859,3639.12943,5492.00346,465.10493,9814.76887,9521.68202,11010.36396,10108.40697,9411.47553,9050.64529,9248.3795,7785.4831
5,country,Denmark,1132.15,1552.52,1017.39,1712.77,5006.18,4176.80375,758.79469,2801.13741,7730.38564,16756.87763,33823.48939,11522.53683,6637.3559,2610.93831,-10715.96679,7533.54644,9530.53585,6638.49753,-742.26922,1045.29153,-8977.40039,11939.23047,776.2587,907.61995,4682.30779,3616.13042,235.3039,5436.55884,-2497.22113,27029.3774,1372.02559,7095.3075,7750.11616,8760.46471
