level,type,Region/economy,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1,region,World,243874.7458,198856.8073,206048.8494,237527.5529,287274.5252,361243.83,394444.5378,465285.3632,679497.7462,1077161.559,1162491.561,681550.3927,496583.0176,527533.4596,908071.638,838261.1783,1360910.717,2191503.366,1713610.863,1184861.143,1391195.233,1627410.164,1285420.618,1462425.824,1378453.338,1735370.413,1528679.123,1598350.441,1010629.027,1444808.581,779506.58,1881922.276,1574723.969,1550583.782
2,region,Developed economies,231899.9699,189353.8016,185050.0536,204706.1521,244198.8489,312967.2536,339129.9745,405617.2024,642291.2142,1026813.524,1078543.139,626614.1927,460217.8655,491830.0319,801138.9464,735001.1299,1172009.782,1934734.203,1457057.608,954802.8548,1054431.303,1270592.679,959180.0859,1070307.112,951080.4677,1346805.91,1140518.302,1146085.232,633812.6419,1045959.957,396035.2609,1376094.814,1023156.642,1059322.53
3,region,Europe,140954.8678,115352.9952,114893.3022,105635.1083,136072.0315,178042.1253,207854.1153,251371.3724,444405.7282,771547.7109,848016.4872,414548.6638,254867.0849,287682.8872,412820.3887,672124.8557,802250.6317,1357350.673,882899.8476,517995.1408,628959.693,673160.8295,421997.1405,539566.9833,375652.5951,853582.9817,583565.8421,527848.5151,535714.4636,648344.3227,-17470.4495,705713.7044,216769.6341,327855.2081
4,region,European Union,114236.2758,90925.6637,87278.2995,67809.09276,88545.67022,114255.6158,148231.8937,164424.369,298999.4061,526688.8287,558833.2985,337323.4021,183973.9206,194349.3305,263880.2773,491131.7869,594184.4178,905185.6257,563731.9981,405263.0445,435566.526,461548.8967,309550.6382,379007.5956,453148.5321,784513.2035,493467.583,326390.6227,340138.3395,644799.062,102670.456,619676.9663,169789.7655,182746.2571
5,country,Austria,1701,1293,1760.03723,1178.54822,1241.01585,1083.55308,1889.07977,1998.37265,2768.04422,3300.91186,5509.48959,3021.8969,5780.43386,6859.7819,8029.89949,11145.10272,11974.04223,35839.90978,28708.18455,10998.38939,9585.43904,21912.7925,13109.40191,15572.64188,-727.19238,7028.5576,-2033.49854,10251.11358,5611.76731,12485.95059,7283.87812,25242.99404,7522.60895,9593.77946
5,country,Belgium,0,0,0,0,0,0,0,0,0,0,0,0,12277.06931,38322.45715,34018.11601,32658.06099,50684.88511,80127.23127,17289.33973,21961.73332,576.1246,49231.60331,41540.85731,40686.63258,10028.8284,55199.15677,40204.99878,29626.8682,43580.79861,6111.21311,5419.72299,30094.83213,20311.19685,12072.35846
5,country,Belgium / Luxembourg,6314.44,6270.93,11407,4903.56,1371.38,11603,8026.12,7252.12,28845.3,122304.174,86361.71,100646.089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,country,Bulgaria,-2.506,-6.07,-2.714,-3.211,0.18,-8,-28.5,-1.90179,0.11435,17.43078,3.04035,7.78517,27.29283,26.29696,-205.62105,309.77963,176.75668,282.2191,764.78559,-94.8818,313.24277,399.09376,325.12383,186.74449,267.6386,137.99426,405.07772,330.56269,248.60529,449.4481,246.25873,317.53129,561.20622,598.27062
5,country,Croatia,0,0,0,17.77578,6.76599,7.05279,26.29397,251.07876,162.63317,64.31182,47.73607,145.09669,589.30215,143.02789,402.7416,267.32761,324.19744,383.448,1542.29451,1175.99017,99.06971,297.78413,-52.02061,-71.73075,1979.3188,-140.24956,-1949.3759,-737.04518,206.27206,-117.61487,34.74084,926.20629,-254.07765,1177.91077
5,country,Cyprus,4.584,14.642,14.681,12.264,6.095,15.693,35.17,28.01079,70.72285,180.47638,168.61249,245.44318,508.765,571.95352,8517.84703,11016.95065,16806.25058,23840.7202,14370.46598,63108.93139,33871.86378,43625.71261,68870.49395,26182.91573,60907.32429,39279.94701,8689.64636,8931.86415,-6941.00756,51415.48475,-32964.92574,3278.29648,-905.14772,-1833.18196
